 ◦ 2022년 학교안전사고 발생건수(부위),,,,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,,,
지역,"학교
급별",손,,발,,머리(두부),,복합부위*,,다리,,팔,,치아(구강),,기타*,,흉복부,,합계,
경기,중,"6,565",32.40%,"5,292",26.10%,"2,487",12.30%,"2,103",10.40%,"1,737",8.60%,922,4.50%,307,1.50%,507,2.50%,373,1.80%,"20,293",100.00%
경기,고,"2,475",26.30%,"3,061",32.50%,900,9.60%,"1,021",10.90%,"1,012",10.80%,431,4.60%,122,1.30%,208,2.20%,178,1.90%,"9,408",100.00%
경기,특수,15,13.20%,25,21.90%,21,18.40%,24,21.10%,7,6.10%,4,3.50%,8,7.00%,7,6.10%,3,2.60%,114,100.00%
경기,기타,25,25.00%,27,27.00%,9,9.00%,15,15.00%,10,10.00%,6,6.00%,2,2.00%,4,4.00%,2,2.00%,100,100.00%
경기,소계,"13,706",28.30%,"12,587",26.00%,"7,152",14.80%,"5,372",11.10%,"3,832",7.90%,"2,381",4.90%,"1,272",2.60%,"1,251",2.60%,817,1.70%,"48,370",100.00%
강원,유,32,12.10%,39,14.70%,92,34.70%,32,12.10%,4,1.50%,26,9.80%,20,7.50%,17,6.40%,3,1.10%,265,100.00%
강원,초,593,28.40%,579,27.70%,274,13.10%,252,12.10%,124,5.90%,126,6.00%,72,3.40%,53,2.50%,18,0.90%,"2,091",100.00%
강원,중,571,34.30%,432,25.90%,176,10.60%,162,9.70%,137,8.20%,81,4.90%,26,1.60%,47,2.80%,35,2.10%,"1,667",100.00%
강원,고,247,25.10%,325,33.00%,86,8.70%,94,9.50%,131,13.30%,49,5.00%,17,1.70%,19,1.90%,17,1.70%,985,100.00%
강원,특수,1,10.00%,3,30.00%,  ,0.00%,2,20.00%,2,20.00%,1,10.00%,  ,0.00%,  ,0.00%,1,10.00%,10,100.00%
강원,기타,  ,  ,  ,  ,  ,  ,1,  ,1,  ,  ,  ,  ,  ,  ,  ,1,  ,3,0.00%
강원,소계,"1,444",28.80%,"1,378",27.40%,628,12.50%,543,10.80%,399,7.90%,283,5.60%,135,2.70%,136,2.70%,75,1.50%,"5,021",100.00%
충북,유,46,19.20%,27,11.30%,91,38.10%,9,3.80%,2,0.80%,21,8.80%,17,7.10%,25,10.50%,1,0.40%,239,100.00%
충북,초,433,29.40%,333,22.60%,242,16.40%,156,10.60%,91,6.20%,93,6.30%,61,4.10%,51,3.50%,15,1.00%,"1,475",100.00%
충북,중,496,34.10%,389,26.80%,140,9.60%,142,9.80%,115,7.90%,71,4.90%,23,1.60%,47,3.20%,30,2.10%,"1,453",100.00%
충북,고,182,25.90%,212,30.20%,64,9.10%,71,10.10%,92,13.10%,49,7.00%,9,1.30%,16,2.30%,8,1.10%,703,100.00%
충북,특수,2,6.90%,3,10.30%,4,13.80%,13,44.80%,2,6.90%,2,6.90%,1,3.40%,2,6.90%,  ,0.00%,29,100.00%
충북,기타,1,9.10%,3,27.30%,2,18.20%,1,9.10%,4,36.40%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,11,100.00%
충북,소계,"1,160",29.70%,967,24.70%,543,13.90%,392,10.00%,306,7.80%,236,6.00%,111,2.80%,141,3.60%,54,1.40%,"3,910",100.00%
충남,유,71,19.10%,40,10.80%,130,35.00%,32,8.60%,8,2.20%,33,8.90%,35,9.40%,18,4.90%,4,1.10%,371,100.00%
충남,초,624,27.50%,544,24.00%,352,15.50%,257,11.30%,163,7.20%,148,6.50%,88,3.90%,53,2.30%,36,1.60%,"2,265",100.00%
충남,중,575,30.10%,517,27.10%,209,11.00%,202,10.60%,173,9.10%,116,6.10%,36,1.90%,52,2.70%,28,1.50%,"1,908",100.00%
충남,고,274,23.30%,391,33.30%,102,8.70%,137,11.70%,147,12.50%,52,4.40%,16,1.40%,30,2.60%,26,2.20%,"1,175",100.00%
충남,특수,2,7.10%,8,28.60%,5,17.90%,6,21.40%,  ,0.00%,4,14.30%,1,3.60%,1,3.60%,1,3.60%,28,100.00%
충남,기타,1,25.00%,1,25.00%,1,25.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,25.00%,4,100.00%
충남,소계,"1,547",26.90%,"1,501",26.10%,799,13.90%,634,11.00%,491,8.50%,353,6.10%,176,3.10%,154,2.70%,96,1.70%,"5,751",100.00%
전북,유,57,13.80%,66,15.90%,145,35.00%,42,10.10%,15,3.60%,33,8.00%,34,8.20%,20,4.80%,2,0.50%,414,100.00%
전북,초,526,25.80%,482,23.70%,356,17.50%,259,12.70%,127,6.20%,132,6.50%,80,3.90%,50,2.50%,26,1.30%,"2,038",100.00%
전북,중,479,28.10%,488,28.70%,206,12.10%,177,10.40%,149,8.70%,90,5.30%,37,2.20%,54,3.20%,23,1.40%,"1,703",100.00%
전북,고,217,19.30%,415,36.90%,92,8.20%,130,11.60%,148,13.20%,49,4.40%,18,1.60%,30,2.70%,25,2.20%,"1,124",100.00%
전북,특수,1,5.90%,5,29.40%,2,11.80%,6,35.30%,  ,0.00%,  ,0.00%,2,11.80%,1,5.90%,  ,0.00%,17,100.00%
전북,기타,  ,0.00%,  ,0.00%,  ,0.00%,4,57.10%,2,28.60%,  ,0.00%,  ,0.00%,1,14.30%,  ,0.00%,7,100.00%
전북,소계,"1,280",24.10%,"1,456",27.50%,801,15.10%,618,11.70%,441,8.30%,304,5.70%,171,3.20%,156,2.90%,76,1.40%,"5,303",100.00%
전남,유,27,16.70%,19,11.70%,67,41.40%,19,11.70%,1,0.60%,14,8.60%,8,4.90%,5,3.10%,2,1.20%,162,100.00%
전남,초,335,26.50%,316,25.00%,186,14.70%,143,11.30%,74,5.80%,112,8.80%,46,3.60%,31,2.40%,23,1.80%,"1,266",100.00%
전남,중,335,30.90%,302,27.80%,105,9.70%,106,9.80%,109,10.00%,66,6.10%,14,1.30%,29,2.70%,19,1.80%,"1,085",100.00%
전남,고,152,21.90%,250,36.10%,63,9.10%,75,10.80%,89,12.80%,23,3.30%,11,1.60%,20,2.90%,10,1.40%,693,100.00%
전남,특수,  ,0.00%,1,33.30%,2,66.70%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,3,100.00%
전남,기타,  ,0.00%,3,60.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,20.00%,1,20.00%,  ,0.00%,  ,0.00%,5,100.00%
전남,소계,849,26.40%,891,27.70%,423,13.20%,343,10.70%,273,8.50%,216,6.70%,80,2.50%,85,2.60%,54,1.70%,"3,214",100.00%
경북,유,50,12.40%,53,13.20%,161,40.00%,29,7.20%,10,2.50%,38,9.50%,31,7.70%,28,7.00%,2,0.50%,402,100.00%
경북,초,584,28.50%,465,22.70%,349,17.00%,231,11.30%,110,5.40%,138,6.70%,91,4.40%,54,2.60%,26,1.30%,"2,048",100.00%
경북,중,573,31.80%,496,27.50%,206,11.40%,160,8.90%,160,8.90%,107,5.90%,28,1.60%,44,2.40%,30,1.70%,"1,804",100.00%
경북,고,283,23.50%,384,31.90%,119,9.90%,138,11.50%,151,12.50%,64,5.30%,24,2.00%,28,2.30%,14,1.20%,"1,205",100.00%
경북,특수,6,27.30%,3,13.60%,4,18.20%,5,22.70%,3,13.60%,  ,0.00%,1,4.50%,  ,0.00%,  ,0.00%,22,100.00%
경북,기타,8,21.10%,13,34.20%,4,10.50%,3,7.90%,4,10.50%,6,15.80%,  ,0.00%,  ,0.00%,  ,0.00%,38,100.00%
경북,소계,"1,504",27.30%,"1,414",25.60%,843,15.30%,566,10.30%,438,7.90%,353,6.40%,175,3.20%,154,2.80%,72,1.30%,"5,519",100.00%
경남,유,83,13.10%,67,10.60%,287,45.20%,59,9.30%,14,2.20%,38,6.00%,56,8.80%,25,3.90%,6,0.90%,635,100.00%
경남,초,873,26.10%,815,24.40%,590,17.70%,372,11.10%,209,6.30%,230,6.90%,144,4.30%,75,2.20%,34,1.00%,"3,342",100.00%
경남,중,"1,011",32.30%,901,28.80%,309,9.90%,302,9.60%,279,8.90%,151,4.80%,49,1.60%,86,2.70%,44,1.40%,"3,132",100.00%
경남,고,397,24.30%,596,36.50%,136,8.30%,158,9.70%,187,11.40%,59,3.60%,22,1.30%,45,2.80%,35,2.10%,"1,635",100.00%
경남,특수,5,20.00%,4,16.00%,1,4.00%,8,32.00%,2,8.00%,  ,0.00%,3,12.00%,2,8.00%,  ,0.00%,25,100.00%
경남,기타,5,23.80%,8,38.10%,5,23.80%,  ,0.00%,1,4.80%,1,4.80%,1,4.80%,  ,0.00%,  ,0.00%,21,100.00%
경남,소계,"2,374",27.00%,"2,391",27.20%,"1,328",15.10%,899,10.20%,692,7.90%,479,5.40%,275,3.10%,233,2.70%,119,1.40%,"8,790",100.00%
제주,유,17,12.00%,20,14.10%,43,30.30%,11,7.70%,6,4.20%,20,14.10%,16,11.30%,9,6.30%,  ,0.00%,142,100.00%
제주,초,372,29.80%,329,26.40%,155,12.40%,144,11.50%,85,6.80%,77,6.20%,42,3.40%,30,2.40%,14,1.10%,"1,248",100.00%
제주,중,383,34.70%,326,29.60%,100,9.10%,85,7.70%,84,7.60%,57,5.20%,17,1.50%,39,3.50%,12,1.10%,"1,103",100.00%
제주,고,195,31.90%,225,36.80%,40,6.50%,39,6.40%,64,10.50%,31,5.10%,3,0.50%,6,1.00%,8,1.30%,611,100.00%
제주,특수,  ,0.00%,3,60.00%,1,20.00%,1,20.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,5,100.00%
제주,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
제주,소계,967,31.10%,903,29.00%,339,10.90%,280,9.00%,239,7.70%,185,6.00%,78,2.50%,84,2.70%,34,1.10%,"3,109",100.00%
"* 복합부위: 사고부위가 2개이상 선택된 경우(20년도 통합정보시스템으로 개편됨에 따라 사고부위의 다중선택 가능)
* 기타: 신경계, 내장기관, 기타 등 포함",,,,,,,,,,,,,,,,,,,,,
