 ◦ 2020년 학교안전사고 발생현황(사고당시활동),,,,,,,,,,,,,,,,,,,
인천 ,기타,14,73.70%,1,5.30%,2,10.50%,,,2,10.50%,,,,,,,19,100.00%
인천 ,소계,498,29.90%,274,16.40%,246,14.80%,283,17.00%,150,9.00%,114,6.80%,63,3.80%,39,2.30%,"1,667",100.00%
광주,유,5,2.10%,42,17.60%,51,21.30%,87,36.40%,8,3.30%,27,11.30%,15,6.30%,4,1.70%,239,100.00%
광주,초,62,21.90%,84,29.70%,49,17.30%,43,15.20%,15,5.30%,17,6.00%,9,3.20%,4,1.40%,283,100.00%
광주,중,160,44.90%,51,14.30%,50,14.00%,41,11.50%,28,7.90%,18,5.10%,3,0.80%,5,1.40%,356,100.00%
광주,고,149,48.50%,64,20.80%,30,9.80%,13,4.20%,18,5.90%,11,3.60%,3,1.00%,19,6.20%,307,100.00%
광주,특수,,,1,25.00%,1,25.00%,,,,,,,1,25.00%,1,25.00%,4,100.00%
광주,기타,4,66.70%,,,,,,,1,16.70%,,,,,1,16.70%,6,100.00%
광주,소계,380,31.80%,242,20.30%,181,15.10%,184,15.40%,70,5.90%,73,6.10%,31,2.60%,34,2.80%,"1,195",100.00%
대전,유,6,1.80%,43,13.10%,77,23.40%,151,45.90%,11,3.30%,26,7.90%,11,3.30%,4,1.20%,329,100.00%
대전,초,83,22.60%,78,21.30%,63,17.20%,53,14.40%,44,12.00%,30,8.20%,9,2.50%,7,1.90%,367,100.00%
대전,중,226,55.40%,40,9.80%,51,12.50%,24,5.90%,40,9.80%,16,3.90%,3,0.70%,8,2.00%,408,100.00%
대전,고,198,48.80%,72,17.70%,55,13.50%,16,3.90%,30,7.40%,13,3.20%,3,0.70%,19,4.70%,406,100.00%
대전,특수,,,3,75.00%,,,1,25.00%,,,,,,,,,4,100.00%
대전,기타,8,57.10%,,,1,7.10%,1,7.10%,1,7.10%,,,,,3,21.40%,14,100.00%
대전,소계,521,34.10%,236,15.40%,247,16.20%,246,16.10%,126,8.20%,85,5.60%,26,1.70%,41,2.70%,"1,528",100.00%
울산,유,2,1.40%,16,11.20%,45,31.50%,54,37.80%,8,5.60%,12,8.40%,6,4.20%,,,143,100.00%
울산,초,128,26.70%,124,25.80%,67,14.00%,70,14.60%,47,9.80%,29,6.00%,8,1.70%,7,1.50%,480,100.00%
울산,중,227,46.00%,72,14.60%,53,10.80%,51,10.30%,42,8.50%,27,5.50%,9,1.80%,12,2.40%,493,100.00%
울산,고,194,54.20%,46,12.80%,33,9.20%,9,2.50%,22,6.10%,33,9.20%,4,1.10%,17,4.70%,358,100.00%
울산,특수,3,16.70%,2,11.10%,4,22.20%,2,11.10%,1,5.60%,4,22.20%,1,5.60%,1,5.60%,18,100.00%
울산,기타,,,,,,,,,,,,,,,,,,
울산,소계,554,37.10%,260,17.40%,202,13.50%,186,12.50%,120,8.00%,105,7.00%,28,1.90%,37,2.50%,"1,492",100.00%
세종,유,1,0.50%,22,11.00%,67,33.50%,89,44.50%,10,5.00%,7,3.50%,3,1.50%,1,0.50%,200,100.00%
세종,초,51,24.60%,35,16.90%,36,17.40%,41,19.80%,20,9.70%,16,7.70%,6,2.90%,2,1.00%,207,100.00%
세종,중,87,47.30%,23,12.50%,25,13.60%,17,9.20%,15,8.20%,11,6.00%,3,1.60%,3,1.60%,184,100.00%
세종,고,37,42.50%,7,8.00%,21,24.10%,4,4.60%,7,8.00%,4,4.60%,1,1.10%,6,6.90%,87,100.00%
세종,특수,,,,,,,,,2,66.70%,1,33.30%,,,,,3,100.00%
세종,기타,,,,,,,,,,,,,,,,,,
세종,소계,176,25.80%,87,12.80%,149,21.90%,151,22.20%,54,7.90%,39,5.70%,13,1.90%,12,1.80%,681,100.00%
경기,유,14,1.10%,192,14.80%,319,24.60%,438,33.70%,51,3.90%,89,6.90%,183,14.10%,13,1.00%,"1,299",100.00%
경기,초,409,21.60%,493,26.10%,258,13.70%,256,13.50%,183,9.70%,134,7.10%,108,5.70%,49,2.60%,"1,890",100.00%
경기,중,"1,182",47.60%,382,15.40%,314,12.70%,251,10.10%,153,6.20%,108,4.40%,31,1.20%,60,2.40%,"2,481",100.00%
경기,고,"1,315",50.30%,414,15.80%,295,11.30%,101,3.90%,197,7.50%,130,5.00%,33,1.30%,128,4.90%,"2,613",100.00%
경기,특수,1,2.00%,14,28.00%,11,22.00%,3,6.00%,4,8.00%,10,20.00%,2,4.00%,5,10.00%,50,100.00%
경기,기타,13,37.10%,9,25.70%,2,5.70%,3,8.60%,3,8.60%,4,11.40%,1,2.90%,,,35,100.00%
경기,소계,"2,934",35.10%,"1,504",18.00%,"1,199",14.30%,"1,052",12.60%,591,7.10%,475,5.70%,358,4.30%,255,3.00%,"8,368",100.00%
강원,유,2,1.10%,23,12.20%,55,29.30%,78,41.50%,6,3.20%,17,9.00%,5,2.70%,2,1.10%,188,100.00%
강원,초,168,24.30%,120,17.40%,103,14.90%,132,19.10%,87,12.60%,40,5.80%,22,3.20%,18,2.60%,690,100.00%
강원,중,377,53.70%,62,8.80%,100,14.20%,72,10.30%,45,6.40%,24,3.40%,7,1.00%,15,2.10%,702,100.00%
강원,고,266,55.40%,62,12.90%,55,11.50%,18,3.80%,34,7.10%,11,2.30%,5,1.00%,29,6.00%,480,100.00%
강원,특수,,,4,25.00%,4,25.00%,1,6.30%,,,,,3,18.80%,4,25.00%,16,100.00%
강원,기타,1,100.00%,,,,,,,,,,,,,,,1,100.00%
강원,소계,814,39.20%,271,13.00%,317,15.30%,301,14.50%,172,8.30%,92,4.40%,42,2.00%,68,3.30%,"2,077",100.00%
충북,유,,,19,12.70%,44,29.30%,61,40.70%,8,5.30%,14,9.30%,4,2.70%,,,150,100.00%
충북,초,130,31.30%,88,21.20%,53,12.70%,62,14.90%,45,10.80%,19,4.60%,14,3.40%,5,1.20%,416,100.00%
충북,중,222,52.40%,59,13.90%,45,10.60%,35,8.30%,36,8.50%,16,3.80%,3,0.70%,8,1.90%,424,100.00%
충북,고,156,44.80%,58,16.70%,37,10.60%,26,7.50%,22,6.30%,20,5.70%,5,1.40%,24,6.90%,348,100.00%
충북,특수,1,7.10%,4,28.60%,4,28.60%,,,1,7.10%,2,14.30%,1,7.10%,1,7.10%,14,100.00%
충북,기타,1,14.30%,,,4,57.10%,,,2,28.60%,,,,,,,7,100.00%
충북,소계,510,37.50%,228,16.80%,187,13.80%,184,13.50%,114,8.40%,71,5.20%,27,2.00%,38,2.80%,"1,359",100.00%
충남,유,5,1.90%,42,16.30%,67,26.00%,101,39.10%,12,4.70%,18,7.00%,13,5.00%,,,258,100.00%
충남,초,177,23.80%,141,18.90%,118,15.80%,134,18.00%,85,11.40%,45,6.00%,31,4.20%,14,1.90%,745,100.00%
충남,중,331,49.10%,89,13.20%,88,13.10%,61,9.10%,61,9.10%,29,4.30%,11,1.60%,4,0.60%,674,100.00%
충남,고,254,47.10%,81,15.00%,66,12.20%,20,3.70%,55,10.20%,29,5.40%,6,1.10%,28,5.20%,539,100.00%
충남,특수,,,3,42.90%,2,28.60%,,,1,14.30%,,,,,1,14.30%,7,100.00%
충남,기타,4,28.60%,5,35.70%,2,14.30%,,,2,14.30%,,,,,1,7.10%,14,100.00%
충남,소계,771,34.50%,361,16.10%,343,15.30%,316,14.10%,216,9.70%,121,5.40%,61,2.70%,48,2.10%,"2,237",100.00%
전북,유,3,1.40%,32,14.60%,65,29.70%,87,39.70%,9,4.10%,11,5.00%,11,5.00%,1,0.50%,219,100.00%
전북,초,197,21.60%,220,24.20%,122,13.40%,190,20.90%,82,9.00%,58,6.40%,25,2.70%,16,1.80%,910,100.00%
전북,중,341,49.00%,118,17.00%,65,9.30%,80,11.50%,49,7.00%,32,4.60%,5,0.70%,6,0.90%,696,100.00%
전북,고,379,46.80%,128,15.80%,103,12.70%,33,4.10%,52,6.40%,39,4.80%,13,1.60%,63,7.80%,810,100.00%
전북,특수,1,7.10%,2,14.30%,4,28.60%,1,7.10%,1,7.10%,2,14.30%,,,3,21.40%,14,100.00%
전북,기타,,,4,100.00%,,,,,,,,,,,,,4,100.00%
전북,소계,921,34.70%,504,19.00%,359,13.50%,391,14.70%,193,7.30%,142,5.40%,54,2.00%,89,3.40%,"2,653",100.00%
전남,유,2,1.60%,22,17.90%,32,26.00%,47,38.20%,4,3.30%,13,10.60%,3,2.40%,,,123,100.00%
전남,초,104,20.80%,113,22.60%,65,13.00%,88,17.60%,66,13.20%,37,7.40%,17,3.40%,11,2.20%,501,100.00%
전남,중,249,52.00%,70,14.60%,65,13.60%,36,7.50%,30,6.30%,18,3.80%,4,0.80%,7,1.50%,479,100.00%
전남,고,147,47.70%,39,12.70%,48,15.60%,12,3.90%,33,10.70%,16,5.20%,2,0.60%,11,3.60%,308,100.00%
전남,특수,,,2,40.00%,1,20.00%,1,20.00%,,,,,1,20.00%,,,5,100.00%
전남,기타,1,25.00%,1,25.00%,2,50.00%,,,,,,,,,,,4,100.00%
전남,소계,503,35.40%,247,17.40%,213,15.00%,184,13.00%,133,9.40%,84,5.90%,27,1.90%,29,2.00%,"1,420",100.00%
경북,유,3,1.00%,57,18.20%,78,24.90%,121,38.70%,11,3.50%,25,8.00%,17,5.40%,1,0.30%,313,100.00%
경북,초,172,23.50%,148,20.20%,100,13.70%,125,17.10%,100,13.70%,44,6.00%,25,3.40%,18,2.50%,732,100.00%
경북,중,309,54.50%,78,13.80%,62,10.90%,35,6.20%,39,6.90%,21,3.70%,5,0.90%,18,3.20%,567,100.00%
경북,고,333,49.20%,122,18.00%,57,8.40%,23,3.40%,45,6.60%,40,5.90%,10,1.50%,47,6.90%,677,100.00%
경북,특수,,,5,35.70%,4,28.60%,2,14.30%,,,1,7.10%,,,2,14.30%,14,100.00%
경북,기타,3,42.90%,,,,,,,2,28.60%,1,14.30%,1,14.30%,,,7,100.00%
경북,소계,820,35.50%,410,17.70%,301,13.00%,306,13.20%,197,8.50%,132,5.70%,58,2.50%,86,3.70%,"2,310",100.00%
경남,유,9,1.50%,79,13.30%,149,25.20%,248,41.90%,21,3.50%,48,8.10%,35,5.90%,3,0.50%,592,100.00%
경남,초,219,22.70%,223,23.10%,152,15.70%,179,18.50%,80,8.30%,64,6.60%,31,3.20%,18,1.90%,966,100.00%
경남,중,420,50.70%,126,15.20%,111,13.40%,64,7.70%,55,6.60%,29,3.50%,9,1.10%,15,1.80%,829,100.00%
경남,고,399,49.00%,140,17.20%,92,11.30%,32,3.90%,45,5.50%,34,4.20%,12,1.50%,61,7.50%,815,100.00%
경남,특수,,,5,55.60%,3,33.30%,,,,,,,,,1,11.10%,9,100.00%
경남,기타,1,7.70%,4,30.80%,1,7.70%,1,7.70%,1,7.70%,2,15.40%,1,7.70%,2,15.40%,13,100.00%
경남,소계,"1,048",32.50%,577,17.90%,508,15.80%,524,16.30%,202,6.30%,177,5.50%,88,2.70%,100,3.10%,"3,224",100.00%
제주,유,3,3.10%,8,8.30%,31,32.30%,45,46.90%,4,4.20%,4,4.20%,1,1.00%,,,96,100.00%
제주,초,145,27.00%,87,16.20%,88,16.40%,114,21.20%,53,9.90%,23,4.30%,17,3.20%,10,1.90%,537,100.00%
제주,중,256,60.70%,40,9.50%,46,10.90%,25,5.90%,29,6.90%,17,4.00%,7,1.70%,2,0.50%,422,100.00%
제주,고,125,66.10%,23,12.20%,18,9.50%,5,2.60%,9,4.80%,3,1.60%,1,0.50%,5,2.60%,189,100.00%
제주,특수,,,3,27.30%,3,27.30%,,,2,18.20%,1,9.10%,2,18.20%,,,11,100.00%
제주,기타,,,,,,,,,,,,,,,,,,
제주,소계,529,42.20%,161,12.80%,186,14.80%,189,15.10%,97,7.70%,48,3.80%,28,2.20%,17,1.40%,"1,255",100.00%
"* 기타 : 싸움, 탑승/승선/자전거타기(운전), 기타 포함 ",,,,,,,,,,,,,,,,,,,
